firstname,lastname,emailId,mobile,username,password,verificationToken,status,deleteStatus,verificationStatus
Jignesh,Zala,jignesh.zala@indianic.com,99996633111,jig,bhole0-07,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImppZ25lc2guemFsYUBpbmRpYW5pYy5jb20iLCJpYXQiOjE1MjE3ODQ1MjEsImV4cCI6MTUyMTkwNDUyMX0.nTg5ZgpaWNajLFkOWW3PTh81VAx5uax2xaYgJLM6HXI,false,false,false
nishi,rathod,reo@gmail.com,1234567890,nisha11,539823,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InJlb0BnbWFpbC5jb20iLCJpYXQiOjE1MjE3ODk2NTUsImV4cCI6MTUyMTkwOTY1NX0.ZM7zx3DoCCOFWpyjwShB2RNt7ea7uuNRTcZ1DsBXDCs,true,false,false
Nimmi,Nirmal,nimmi1@grr.la,9876541200,nimmi,bhole007,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im5pbW1pMUBncnIubGEiLCJpYXQiOjE1MjE3OTk5NTcsImV4cCI6MTUyMTkxOTk1N30.724nTvt2usRowbWsTSkOJ4XI5e9PR_-qqbmfY5Q7f1M,true,true,false
kk,kk,kkkkkk1332@grr.la,6546465465,kkkkk,bhole,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Imtra2trazEzMzJAZ3JyLmxhIiwiaWF0IjoxNTIxODAxOTYzLCJleHAiOjE1MjE5MjE5NjN9.kNSyWChzYTMS59tjSM-XM_BjfgPXu1aHaaioZGFgK3w,true,false,false
pppp,pppp,kkkkkk133213661266@grr.la,6546546546,ppppp,jiijijiji,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Imtra2trazEzMzIxMzY2MTI2NkBncnIubGEiLCJpYXQiOjE1MjE4MDE5ODAsImV4cCI6MTUyMTkyMTk4MH0.hcxSjpfskwp-XtgzMZd807XXbGgMVo_8q8IL4lD59Yk,true,false,false
mmm,mmm,mmmm@grr.la,6984797654,mmmmm,645654654,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6Im1tbW1AZ3JyLmxhIiwiaWF0IjoxNTIxODAxOTk0LCJleHAiOjE1MjE5MjE5OTR9.Y2IBFAxo4zl6Nt4zD9f7RC9vjEjpi2B9ITiocXOqypI,true,false,false
nnn,nnnn,fkgofk@grr.la,3213213213,nnnnn,654654654,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImZrZ29ma0BncnIubGEiLCJpYXQiOjE1MjE4MDIwMTAsImV4cCI6MTUyMTkyMjAxMH0.7JCf7gtEi7VzprpkMx73lgxPBiN8u03UdrDpV-z22yg,true,false,false
pp,pppp,pppp@grr.la,6546549878,ppppp,kokokokokokk,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InBwcHBAZ3JyLmxhIiwiaWF0IjoxNTIxODAyMDI0LCJleHAiOjE1MjE5MjIwMjR9.wNdAVQ0fF0rAZesi82bVixKQ0YZUk2U7kvGYjoBJUi4,true,false,false
kkkkkkk,kkk,kfgokf@grr.la,6546546546,kkkkkk,64654,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImtmZ29rZkBncnIubGEiLCJpYXQiOjE1MjE4MDIwMzksImV4cCI6MTUyMTkyMjAzOX0.GFTfCaSlfKfGcC7VRztJyr4WYupiOq0rYbbFDbqvEi4,true,false,false
pp,pppppp,ppppppp@grr.la,6546546464,ppppp,674987987987987897,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6InBwcHBwcHBAZ3JyLmxhIiwiaWF0IjoxNTIxODAyMDU4LCJleHAiOjE1MjE5MjIwNTh9.lAeQA1UjfUqB69adIMas8P6gI4fM8PpntBhVdv9fNOU,true,false,false
rrr,jnjjiji,fff@grr.la,9876546546,jijijij,987987,eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJlbWFpbCI6ImZmZkBncnIubGEiLCJpYXQiOjE1MjE4MDIwODIsImV4cCI6MTUyMTkyMjA4Mn0.X1iCXiBgFxLVasIusVSDVcL9ecWl5PJB75V_R-en0MI,true,false,false
